German,English,Bengali
mach,do,করতে
passiert,happened,ঘটেছে
dachte,thought,চিন্তা
besser,better,ভাল
musst,must,আবশ্যক
wieso,how come,কিভাবে আসা
sir,sir,স্যার
dieses,this,এই
selbst,himself,নিজেকে
gehört,heard,শুনেছি
möchte,want,চাই
ohne,without,ছাড়া
hör,listen,শুনুন
her,here,এখানে
sag,say,বল
meiner,mine,আমার
anderen,others,অন্যদের
helfen,help,সাহায্য
nacht,night,রাত
finden,find,খুঁজুন
diesen,this one,এই এক
gute,good,ভাল
wirst,will,হবে
lange,long,দীর্ঘ
natürlich,naturally,স্বাভাবিকভাবে
ach,Oh,ওহ
meinem,mine,আমার
gar,even,এমনকি
ins,into the,মধ্যে
sei,be,হতে
dort,there,সেখানে
weiter,further,আরও
geben,give,দিতে
seit,since,থেকে
gleich,even,এমনকি
sagt,says,বলেন
recht,right,অধিকার
ihren,your,আপনার
richtig,correct,সঠিক
ordnung,order,আদেশ
vom,from the,থেকে
hören,hear,শুনতে
sieht,sees,দেখে
davon,of that,যে
dafür,for that,যে জন্য
geh,go,যাও
diesem,this one,এই এক
wegen,because of,কারণ
hause,home,বাড়ি
sollten,should,উচিত
mädchen,girl,মেয়ে
hin,there,সেখানে
sollen,should,উচিত
abend,evening,সন্ধ্যা
haus,a house,একটি ঘর
denke,think,মনে
viele,many,অনেক
drei,three,তিন
deinen,yours,তোমার
freund,friend,বন্ধু
guten,good,ভাল
unser,our,আমাদের
warte,wait,অপেক্ষা করুন
machst,do,করতে
menschen,people,মানুষ
essen,eat,খাওয়া
angst,fear,ভয়
bleiben,remain,থাকা
zusammen,together,একসাথে
welt,world,বিশ্ব
unter,under,অধীন
habt,have,আছে
schnell,fast,দ্রুত
andere,other,অন্যান্য
tot,dead,মৃত
getan,did,করেছে
darf,may,হতে পারে
erst,first,প্রথম
rein,pure,বিশুদ্ধ
stimmt,true,সত্য
nehmen,take,নিতে
kinder,children,শিশু
eines,one,এক
glauben,believe,বিশ্বাস
bringen,bring,আনা
ganze,whole,সম্পূর্ণ
genug,enough,যথেষ্ট
scheiße,shit,বিষ্ঠা
brauchen,need,প্রয়োজন
gegen,against,বিরুদ্ধে
moment,moment,মুহূর্ত
junge,boy,ছেলে
steht,stands,দাঁড়ায়
sonst,otherwise,অন্যথায়
musik,music,সঙ্গীত
arbeit,work,কাজ
seid,are,হয়
ihrer,theirs,তাদের
fragen,questions,প্রশ্ন
herr,Mr,মি
dabei,included,অন্তর্ভুক্ত
heißt,is called,বলা হয়
familie,family,পরিবার
warten,wait,অপেক্ষা করুন
niemand,no one,কেউ না
sofort,immediately,অবিলম্বে
bevor,before,আগে
jahre,years,বছর
einmal,once,একবার
problem,problem,সমস্যা
sohn,son,পুত্র
wann,When,কখন
brauche,need,প্রয়োজন
fertig,complete,সম্পূর্ণ
halt,stop,থামা
allein,alone,একা
beim,at the,এ
sprechen,speak,কথা বলা
beide,both,উভয়
gefunden,found,পাওয়া গেছে
hatten,had,ছিল
sache,matter,ব্যাপার
hilfe,help,সাহায্য
verdammt,damned,অভিশপ্ত
ne,no,না
jeder,everyone,সবাই
warst,were,ছিল
gern,gladly,আনন্দের সাথে
konnte,could,পারে
darüber,about it,এটা সম্পর্কে
halten,hold,রাখা
siehst,see,দেখুন
verstehe,understand,বুঝতে
jahren,years,বছর
kam,came,এসেছে
kind,child,শিশু
wusste,knew,জানত
wahr,true,সত্য
seinen,his,তার
dazu,in addition,উপরন্তু
bruder,brother,ভাই
daran,to it,এটা
ihrem,theirs,তাদের
denken,think,মনে
könnten,could,পারে
dank,thanks to,ধন্যবাদ
würden,would,হবে
lieber,Dear,প্রিয়
fall,case,মামলা
deiner,yours,তোমার
sehe,see,দেখুন
egal,doesn't matter,কোন ব্যাপার না
kennen,know,জানি
deinem,yours,তোমার
vergessen,forget,ভুলে যাও
frage,ask,জিজ্ঞাসা
mache,make,করা
komme,come,আসা
sage,saw,দেখেছি
mag,likes,পছন্দ
sieh,see,দেখুন
echt,real,বাস্তব
gib,give,দিতে
eigentlich,actually,আসলে
jeden,every,প্রতিটি
dad,dad,বাবা
gab,gave,দিয়েছে
uhr,clock,ঘড়ি
stadt,city,শহর
männer,men,পুরুষদের
baby,baby,শিশু
fahren,drive,ড্রাইভ
namen,names,নাম
bekommen,receive,গ্রহণ
kopf,head,মাথা
hi,hi,হাই
gehe,go,যাও
kleine,small,ছোট
später,later,পরে
glück,happiness,সুখ
letzte,last,শেষ
freunde,friends,বন্ধুরা
n,n,n
all,all,সব
darauf,on it,এটার উপর
ende,end,শেষ
dr.,dr.,ড.
bald,soon,শীঘ্রই
töten,kill,হত্যা
dinge,things,জিনিস
meinst,mean,মানে
toll,great,মহান
eins,one,এক
minuten,minutes,মিনিট
vielen,many,অনেক
bereit,ready,প্রস্তুত
weit,far,দূরে
ahnung,idea,ধারণা
seiner,his,তার
bisschen,a little,একটু
tür,door,দরজা
auto,car,গাড়ী
jungs,guys,বলছি
eure,your,আপনার
augen,eyes,চোখ
polizei,police,পুলিশ
stehen,stand,দাঁড়ানো
sterben,die,মারা
hätten,would have,থাকবে
draußen,outside,বাইরে
kenne,know,জানি
